T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_009:0578a15	「阿難！般若波羅蜜欲斷絕時，若欲護助者，是	 阿 難 般 若 波 羅 蜜 欲 斷 絕 時 若 欲 護 助 者 是 
T08n0227_009:0578a16	人則是護助過去、未來、現在諸佛阿耨多羅三	人 則 是 護 助 過 去 未 來 現在諸佛 阿 耨 多 羅 三 
T08n0227_009:0578a17	藐三菩提。何以故？阿難！諸佛阿耨多羅三藐	藐 三 菩 提 何 以 故 阿 難 諸 佛 阿 耨 多 羅 三 藐 
T08n0227_009:0578a18	三菩提，皆從般若波羅蜜生。阿難！若過去諸	三 菩 提 皆 從 般 若 波 羅 蜜 生 阿 難 若 過 去 諸 
T08n0227_009:0578a19	佛阿耨多羅三藐三菩提，皆從般若波羅蜜生；	佛 阿耨多羅三藐三菩提 皆 從 般 若 波 羅 蜜 生 
T08n0227_009:0578a20	未來諸佛阿耨多羅三藐三菩提，亦從般若	未來諸佛 阿耨多羅三藐三菩提 亦 從 般 若 
T08n0227_009:0578a21	波羅蜜生；現在無量阿僧祇世界諸佛阿耨	波 羅 蜜 生 現 在 無量阿僧祇 世 界 諸 佛 阿 耨 
T08n0227_009:0578a22	多羅三藐三菩提，亦從般若波羅蜜生。是故，	多 羅 三藐三菩提 亦 從 般 若 波 羅 蜜 生 是 故 
T08n0227_009:0578a23	阿難！若菩薩欲得阿耨多羅三藐三菩提，當	阿 難 若 菩 薩 欲 得阿耨多羅三藐三菩提 當 
T08n0227_009:0578a24	善學六波羅蜜。何以故？阿難！諸波羅蜜是諸	善 學 六波羅蜜 何 以 故 阿 難 諸波羅蜜 是 諸 
T08n0227_009:0578a25	菩薩母，能生諸佛。若菩薩學是六波羅蜜，當	菩 薩 母 能 生 諸 佛 若 菩 薩 學 是 六波羅蜜 當 
T08n0227_009:0578a26	得阿耨多羅三藐三菩提。是故，阿難！我以六	得阿耨多羅三藐三菩提 是 故 阿 難 我 以 六 
T08n0227_009:0578a27	波羅蜜，重囑累汝。何以故？是六波羅蜜，是諸	波 羅 蜜 重 囑 累 汝 何 以 故 是 六波羅蜜 是 諸 
T08n0227_009:0578a28	佛無盡法藏。「阿難！汝若因小乘法，為小乘人	佛 無 盡 法 藏 阿 難 汝 若 因 小 乘 法 為 小 乘 人 
T08n0227_009:0578a29	說，三千大千世界眾生，皆以是法，證阿羅漢。	說 三千大千世界 眾 生 皆 以 是 法 證 阿 羅 漢 
T08n0227_009:0578b01	汝為弟子，功德蓋少不足言；若以六波羅	汝 為 弟 子 功 德 蓋 少 不 足 言 若 以 六 波 羅 
T08n0227_009:0578b02	蜜，為菩薩說，汝為弟子，功德具足，我則喜	蜜 為 菩 薩 說 汝 為 弟 子 功德具足 我 則 喜 
T08n0227_009:0578b03	悅。阿難！若人以是小乘法，教三千大千世界	悅 阿 難 若 人 以 是 小 乘 法 教 三千大千世界 
T08n0227_009:0578b04	眾生，得阿羅漢證，是諸布施持戒，修善福德，	眾 生 得阿羅漢 證 是 諸 布 施 持 戒 修 善 福 德 
T08n0227_009:0578b05	寧為多不？」阿難言：「甚多，世尊！」佛告阿難：「是福	寧 為 多 不 阿 難 言 甚 多 世 尊 佛 告 阿 難 是 福 
T08n0227_009:0578b06	雖多，不如聲聞人，為菩薩說般若波羅蜜，乃至	雖 多 不 如 聲 聞 人 為 菩 薩 說 般 若 波 羅 蜜 乃 至 
T08n0227_009:0578b07	一日，其福甚多。阿難！置此一日，若從旦至食	一 日 其 福 甚 多 阿 難 置 此 一 日 若 從 旦 至 食 
T08n0227_009:0578b08	時，置從旦至食時，乃至一漏刻頃，置是一	時 置 從 旦 至 食 時 乃 至 一 漏 刻 頃 置 是 一 
T08n0227_009:0578b09	漏刻頃，乃至須臾，為菩薩說法，是人於一	漏 刻 頃 乃 至 須 臾 為 菩 薩 說 法 是 人 於 一 
T08n0227_009:0578b10	切聲聞、辟支佛，善根福德不可相比。若菩薩	切 聲 聞 辟 支 佛 善 根 福 德 不 可 相 比 若 菩 薩 
T08n0227_009:0578b11	如是行，如是念，於阿耨多羅三藐三菩提退	如 是 行 如 是 念 於 阿耨多羅三藐三菩提 退 
T08n0227_009:0578b12	轉者，無有是處。」	轉 者 無 有 是 處 
T08n0227_009:0578b13	摩訶般若波羅蜜見阿閦佛品第二十五	摩訶般若波羅蜜 見 阿 閦 佛 品 第 二 十 五 
T08n0227_009:0578b14	佛說般若波羅蜜是時會中，四眾比丘、比丘	佛 說 般 若 波 羅 蜜 是 時 會 中 四 眾 比 丘 比 丘 
T08n0227_009:0578b15	尼、優婆塞、優婆夷，天、龍、夜叉、乾闥婆、阿修羅、	尼 優 婆 塞 優 婆 夷 天 龍 夜 叉 乾 闥 婆 阿 修 羅 
T08n0227_009:0578b16	迦樓羅、緊那羅、摩睺羅伽、人非人等，佛神力	迦 樓 羅 緊 那 羅 摩睺羅伽 人 非 人 等 佛 神 力 
T08n0227_009:0578b17	故，見阿閦佛在大會中，恭敬圍繞，而為說法。	故 見 阿 閦 佛 在 大 會 中 恭 敬 圍 繞 而 為 說 法 
T08n0227_009:0578b18	如大海水，不可移動。時諸比丘，皆阿羅漢，諸	如大海水 不 可 移 動 時 諸 比 丘 皆 阿 羅 漢 諸 
T08n0227_009:0578b19	漏已盡，無復煩惱，心得自在，及諸菩薩摩訶	漏 已 盡 無復煩惱 心得自在 及 諸 菩 薩 摩 訶 
T08n0227_009:0578b20	薩，其數無量。佛攝神力，大會四眾等，皆不復	薩 其 數 無 量 佛 攝 神 力 大 會 四 眾 等 皆 不 復 
T08n0227_009:0578b21	見阿閦如來，及聲聞菩薩，國界嚴飾。佛告阿難：	見 阿 閦 如 來 及 聲 聞 菩 薩 國 界 嚴 飾 佛 告 阿 難 
T08n0227_009:0578b22	「一切法亦如是，不與眼作對。如今阿閦佛，及阿	 一 切 法 亦 如 是 不 與 眼 作 對 如 今 阿 閦 佛 及 阿 
T08n0227_009:0578b23	羅漢、諸菩薩眾，皆不復現。何以故？法不見法，	羅 漢 諸 菩 薩 眾 皆 不 復 現 何 以 故 法 不 見 法 
T08n0227_009:0578b24	法不知法。阿難！一切法，非知者，非見者，無作	法 不 知 法 阿 難 一 切 法 非 知 者 非 見 者 無 作 
T08n0227_009:0578b25	者，無貪著，不分別故。「阿難！一切法不可思議，	者 無 貪 著 不 分 別 故 阿 難 一 切 法 不可思議 
T08n0227_009:0578b26	猶如幻人；一切法無受者，不堅牢故。菩薩如是	猶 如 幻 人 一 切 法 無 受 者 不 堅 牢 故 菩 薩 如 是 
T08n0227_009:0578b27	行者，名為行般若波羅蜜，於法亦無所著。菩	行 者 名 為 行 般 若 波 羅 蜜 於 法 亦 無 所 著 菩 
T08n0227_009:0578b28	薩如是學者，名為學般若波羅蜜。阿難！若菩	薩 如 是 學 者 名 為 學 般 若 波 羅 蜜 阿 難 若 菩 
T08n0227_009:0578b29	薩欲到一切法彼岸，當學般若波羅蜜。何以	薩 欲 到 一 切 法 彼 岸 當 學 般 若 波 羅 蜜 何 以 
T08n0227_009:0578c01	故？阿難！學般若波羅蜜，於諸學中，最為第一，	故 阿 難 學 般 若 波 羅 蜜 於 諸 學 中 最 為 第 一 
T08n0227_009:0578c02	安樂利益諸世間故。「阿難！如是學者，無依止	安 樂 利 益 諸 世 間 故 阿 難 如 是 學 者 無 依 止 
T08n0227_009:0578c03	者，為作依止。如是學者，諸佛所許，諸佛所讚。	者 為 作 依 止 如 是 學 者 諸 佛 所 許 諸 佛 所 讚 
T08n0227_009:0578c04	諸佛如是學已，能以足指震動三千大千世界。	諸 佛 如 是 學 已 能 以 足 指 震 動 三千大千世界 
T08n0227_009:0578c05	阿難！諸佛學是般若波羅蜜，於過去、未來、現	阿 難 諸 佛 學 是 般 若 波 羅 蜜 於 過 去 未 來 現 
T08n0227_009:0578c06	在一切法中，得無礙知見。阿難！是故般若波	在 一 切 法 中 得 無 礙 知 見 阿 難 是 故 般 若 波 
T08n0227_009:0578c07	羅蜜，最上最妙。「阿難！若欲稱量般若波羅蜜，	羅 蜜 最 上 最 妙 阿 難 若 欲 稱 量 般 若 波 羅 蜜 
T08n0227_009:0578c08	即是稱量虛空。何以故？是般若波羅蜜無量	即 是 稱 量 虛 空 何 以 故 是 般 若 波 羅 蜜 無 量 
T08n0227_009:0578c09	故。阿難！我不說有般若波羅蜜有限有量。	故 阿 難 我 不 說 有 般 若 波 羅 蜜 有 限 有 量 
T08n0227_009:0578c10	阿難！名字章句語言有量，般若波羅蜜無量。」	阿 難 名 字 章 句 語 言 有 量 般 若 波 羅 蜜 無 量 
T08n0227_009:0578c11	「世尊！何因緣故，般若波羅蜜無量？」「阿難！般若	 世 尊 何 因 緣 故 般 若 波 羅 蜜 無 量 阿 難 般 若 
T08n0227_009:0578c12	波羅蜜，無盡故無量；般若波羅蜜，離故無量。阿	波 羅 蜜 無 盡 故 無 量 般 若 波 羅 蜜 離 故 無 量 阿 
T08n0227_009:0578c13	難！過去諸佛皆從般若波羅蜜出，而般若波	難 過去諸佛 皆 從 般 若 波 羅 蜜 出 而 般 若 波 
T08n0227_009:0578c14	羅蜜不盡；未來諸佛皆從般若波羅蜜出，而	羅 蜜 不 盡 未來諸佛 皆 從 般 若 波 羅 蜜 出 而 
T08n0227_009:0578c15	般若波羅蜜不盡；現在無量世界諸佛皆從	般 若 波 羅 蜜 不 盡 現 在 無量世界 諸 佛 皆 從 
T08n0227_009:0578c16	般若波羅蜜出，而般若波羅蜜不盡。是故，般	般 若 波 羅 蜜 出 而 般 若 波 羅 蜜 不 盡 是 故 般 
T08n0227_009:0578c17	若波羅蜜已不盡，今不盡，當不盡。阿難！若人	若 波 羅 蜜 已 不 盡 今 不 盡 當 不 盡 阿 難 若 人 
T08n0227_009:0578c18	欲盡般若波羅蜜，為欲盡虛空。」爾時須菩提	欲 盡 般 若 波 羅 蜜 為 欲 盡 虛 空 爾 時 須 菩 提 
T08n0227_009:0578c19	作是念：「是事甚深，我當問佛。」即白佛言：「世尊！	作 是 念 是 事 甚 深 我 當 問 佛 即 白 佛 言 世 尊 
T08n0227_009:0578c20	般若波羅蜜無盡耶？」「須菩提！般若波羅蜜無	般 若 波 羅 蜜 無 盡 耶 須 菩 提 般 若 波 羅 蜜 無 
T08n0227_009:0578c21	盡。虛空無盡故，般若波羅蜜無盡。」「世尊！應云	盡 虛 空 無 盡 故 般 若 波 羅 蜜 無 盡 世 尊 應 云 
T08n0227_009:0578c22	何出生般若波羅蜜？」「須菩提！色無盡故，是生	何 出 生 般 若 波 羅 蜜 須 菩 提 色 無 盡 故 是 生 
T08n0227_009:0578c23	般若波羅蜜；受、想、行、識無盡故，是生般若波	般 若 波 羅 蜜 受 想 行 識 無 盡 故 是 生 般 若 波 
T08n0227_009:0578c24	羅蜜。須菩提！菩薩坐道場時，如是觀十二因緣，	羅 蜜 須 菩 提 菩 薩 坐 道 場 時 如 是 觀十二因緣 
T08n0227_009:0578c25	離於二邊，是為菩薩不共之法。若菩薩如是	離於二邊 是 為 菩 薩 不 共 之 法 若 菩 薩 如 是 
T08n0227_009:0578c26	觀因緣法，不墮聲聞、辟支佛地，疾近薩婆若，	觀 因 緣 法 不 墮 聲 聞 辟支佛地 疾 近 薩 婆 若 
T08n0227_009:0578c27	必得阿耨多羅三藐三菩提。「須菩提！若諸菩	必 得阿耨多羅三藐三菩提 須 菩 提 若 諸 菩 
T08n0227_009:0578c28	薩有退轉者，不得如是念，不知菩薩行般若	薩 有 退 轉 者 不 得 如 是 念 不 知 菩 薩 行 般 若 
T08n0227_009:0578c29	波羅蜜，云何以無盡法，觀十二因緣？須菩提！	波 羅 蜜 云 何 以 無 盡 法 觀十二因緣 須 菩 提 
T08n0227_009:0579a01	若諸菩薩有退轉者，不得如是方便之力。須	若 諸 菩 薩 有 退 轉 者 不 得 如 是 方 便 之 力 須 
T08n0227_009:0579a02	菩提！若諸菩薩不退轉者，皆得如是方便之	菩 提 若 諸 菩 薩 不 退 轉 者 皆 得 如 是 方 便 之 
T08n0227_009:0579a03	力，所謂菩薩行般若波羅蜜，以如是無盡法，	力 所 謂 菩 薩 行 般 若 波 羅 蜜 以 如 是 無 盡 法 
T08n0227_009:0579a04	觀十二因緣。若菩薩如是觀時，不見諸法，無因	觀十二因緣 若 菩 薩 如 是 觀 時 不 見 諸 法 無 因 
T08n0227_009:0579a05	緣生；亦不見諸法。常不見諸法作者受者。須	緣 生 亦 不 見 諸 法 常 不 見 諸 法 作 者 受 者 須 
T08n0227_009:0579a06	菩提！是名菩薩行般若波羅蜜時，觀十二因	菩 提 是 名 菩 薩 行 般 若 波 羅 蜜 時 觀 十 二 因 
T08n0227_009:0579a07	緣法。「須菩提！若菩薩行般若波羅蜜時，不見	緣 法 須 菩 提 若 菩 薩 行 般 若 波 羅 蜜 時 不 見 
T08n0227_009:0579a08	色，不見受、想、行、識，不見此佛世界，不見彼佛	色 不 見 受 想 行 識 不 見 此 佛 世 界 不 見 彼 佛 
T08n0227_009:0579a09	世界，亦不見有法，見此佛世界、彼佛世界。須	世 界 亦 不 見 有 法 見 此 佛 世 界 彼 佛 世 界 須 
T08n0227_009:0579a10	菩提！若有菩薩能如是行般若波羅蜜，是時	菩 提 若 有 菩 薩 能 如 是 行 般 若 波 羅 蜜 是 時 
T08n0227_009:0579a11	惡魔憂愁，如箭入心。譬如新喪父母，甚大憂	惡 魔 憂 愁 如 箭 入 心 譬 如 新 喪 父 母 甚 大 憂 
T08n0227_009:0579a12	毒。菩薩亦如是，行般若波羅蜜，惡魔甚大憂	毒 菩 薩 亦 如 是 行 般 若 波 羅 蜜 惡 魔 甚 大 憂 
T08n0227_009:0579a13	毒。」「世尊！但一惡魔愁毒，三千世界惡魔皆	毒 世 尊 但 一 惡 魔 愁 毒 三千世界 惡 魔 皆 
T08n0227_009:0579a14	悉愁毒耶？」「須菩提！是諸惡魔皆悉憂毒，各	悉 愁 毒 耶 須 菩 提 是 諸 惡 魔 皆 悉 憂 毒 各 
T08n0227_009:0579a15	於坐處，不能自安。須菩提！菩薩如是行般若	於 坐 處 不 能 自 安 須 菩 提 菩 薩 如 是 行 般 若 
T08n0227_009:0579a16	波羅蜜，一切世間天、人、阿修羅，無能得便，不	波 羅 蜜 一切世間 天 人 阿 修 羅 無 能 得 便 不 
T08n0227_009:0579a17	見有法可退者。是故，須菩提！菩薩欲得阿耨	見 有 法 可 退 者 是 故 須 菩 提 菩 薩 欲 得 阿 耨 
T08n0227_009:0579a18	多羅三藐三菩提，當如是行般若波羅蜜。菩	多 羅 三藐三菩提 當 如 是 行 般 若 波 羅 蜜 菩 
T08n0227_009:0579a19	薩如是行般若波羅蜜時，則具足檀波羅蜜、	薩 如 是 行 般 若 波 羅 蜜 時 則 具 足 檀 波 羅 蜜 
T08n0227_009:0579a20	尸羅波羅蜜、羼提波羅蜜、毘梨耶波羅蜜、禪	尸 羅 波 羅 蜜 羼 提 波 羅 蜜 毘梨耶波羅蜜 禪 
T08n0227_009:0579a21	波羅蜜。菩薩行般若波羅蜜時，則具足諸波	波 羅 蜜 菩 薩 行 般 若 波 羅 蜜 時 則 具 足 諸 波 
T08n0227_009:0579a22	羅蜜，亦能具足方便力。是菩薩行般若波羅	羅 蜜 亦 能 具 足 方 便 力 是 菩 薩 行 般 若 波 羅 
T08n0227_009:0579a23	蜜，諸有所作，生便能知。是故，須菩提！菩薩欲	蜜 諸 有 所 作 生 便 能 知 是 故 須 菩 提 菩 薩 欲 
T08n0227_009:0579a24	得方便力者，當學般若波羅蜜，當修般若波	得 方 便 力 者 當 學 般 若 波 羅 蜜 當 修 般 若 波 
T08n0227_009:0579a25	羅蜜。「須菩提！若菩薩行般若波羅蜜，生般若	羅 蜜 須 菩 提 若 菩 薩 行 般 若 波 羅 蜜 生 般 若 
T08n0227_009:0579a26	波羅蜜時，應念現在無量無邊世界諸佛，諸	波 羅 蜜 時 應 念 現 在 無量無邊 世 界 諸 佛 諸 
T08n0227_009:0579a27	佛薩婆若智，皆從般若波羅蜜生。菩薩如是	佛 薩 婆 若 智 皆 從 般 若 波 羅 蜜 生 菩 薩 如 是 
T08n0227_009:0579a28	念時，應如是思惟：『如十方諸佛所得諸法相，	念 時 應 如 是 思 惟 如 十方諸佛 所 得 諸 法 相 
T08n0227_009:0579a29	我亦當得。須菩提！菩薩行般若波羅蜜，應生	我 亦 當 得 須 菩 提 菩 薩 行 般 若 波 羅 蜜 應 生 
T08n0227_009:0579b01	如是念。』須菩提！若菩薩能生如是念，乃至彈	如 是 念 須 菩 提 若 菩 薩 能 生 如 是 念 乃 至 彈 
T08n0227_009:0579b02	指頃，勝於如恒河沙劫，布施福德，何況一日	指 頃 勝 於 如 恒 河 沙 劫 布 施 福 德 何 況 一 日 
T08n0227_009:0579b03	半日，當知是菩薩，必至阿毘跋致；當知是菩	半 日 當 知 是 菩 薩 必 至 阿毘跋致 當 知 是 菩 
T08n0227_009:0579b04	薩，為諸佛所念。「須菩提！菩薩為諸佛所念者，	薩 為 諸 佛 所 念 須 菩 提 菩 薩 為 諸 佛 所 念 者 
T08n0227_009:0579b05	不生餘處，必當立於阿耨多羅三藐三菩提。	不 生 餘 處 必 當 立 於 阿耨多羅三藐三菩提 
T08n0227_009:0579b06	是菩薩終不墮三惡道，常生好處，不離諸佛。	是 菩 薩 終 不 墮 三 惡 道 常 生 好 處 不 離 諸 佛 
T08n0227_009:0579b07	須菩提！菩薩行般若波羅蜜，生般若波羅蜜，	須 菩 提 菩 薩 行 般 若 波 羅 蜜 生 般 若 波 羅 蜜 
T08n0227_009:0579b08	乃至彈指頃得如是功德，何況一日，若過一	乃 至 彈 指 頃 得 如 是 功 德 何 況 一 日 若 過 一 
T08n0227_009:0579b09	日。如香象菩薩，今在阿閦佛所，行菩薩道，常	日 如 香 象 菩 薩 今 在 阿 閦 佛 所 行菩薩道 常 
T08n0227_009:0579b10	不離般若波羅蜜行。」說是法時，諸比丘眾，一	不 離 般 若 波 羅 蜜 行 說 是 法 時 諸 比 丘 眾 一 
T08n0227_009:0579b11	切大會天、人、阿修羅，皆大歡喜。	切 大 會 天 人 阿 修 羅 皆大歡喜 
T08n0227_009:0579b12	摩訶般若波羅蜜隨知品第二十六	摩訶般若波羅蜜 隨 知 品 第 二 十 六 
T08n0227_009:0579b13	佛告須菩提：「一切法無分別，當知般若波羅	佛 告 須 菩 提 一 切 法 無 分 別 當 知 般 若 波 羅 
T08n0227_009:0579b14	蜜亦如是；一切法無壞，當知般若波羅蜜亦	蜜 亦 如 是 一 切 法 無 壞 當 知 般 若 波 羅 蜜 亦 
T08n0227_009:0579b15	如是；一切法但假名字，當知般若波羅蜜亦如	如 是 一 切 法 但 假 名 字 當 知 般 若 波 羅 蜜 亦 如 
T08n0227_009:0579b16	是；一切法以言說故有，當知般若波羅蜜亦如	是 一 切 法 以 言 說 故 有 當 知 般 若 波 羅 蜜 亦 如 
T08n0227_009:0579b17	是；又此言說，無所有，無處所，當知般若波羅	是 又 此 言 說 無 所 有 無 處 所 當 知 般 若 波 羅 
T08n0227_009:0579b18	蜜亦如是；一切法虛假為用，當知般若波羅蜜	蜜 亦 如 是 一 切 法 虛 假 為 用 當 知 般 若 波 羅 蜜 
T08n0227_009:0579b19	亦如是；一切法無量，當知般若波羅蜜亦如是；	亦 如 是 一 切 法 無 量 當 知 般 若 波 羅 蜜 亦 如 是 
T08n0227_009:0579b20	色無量，當知般若波羅蜜亦如是；受、想、行、識	色 無 量 當 知 般 若 波 羅 蜜 亦 如 是 受 想 行 識 
T08n0227_009:0579b21	無量，當知般若波羅蜜亦如是；一切法無相，	無 量 當 知 般 若 波 羅 蜜 亦 如 是 一 切 法 無 相 
T08n0227_009:0579b22	當知般若波羅蜜亦如是；一切法通達相，當知	當 知 般 若 波 羅 蜜 亦 如 是 一 切 法 通 達 相 當 知 
T08n0227_009:0579b23	般若波羅蜜亦如是；一切法本來清淨，當知般	般 若 波 羅 蜜 亦 如 是 一 切 法 本 來 清 淨 當 知 般 
