T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_006:0125a27	言。汝何以來。答言。汝喚故來。比丘復言。我	言 汝 何 以 來 答 言 汝 喚 故 來 比 丘 復 言 我 
T50n2042_006:0125a28	加趺坐來默然無言。何時喚汝。答言。汝口	加 趺 坐 來 默 然 無 言 何 時 喚 汝 答 言 汝 口 
T50n2042_006:0125a29	雖不喚我覺觀喚我。汝已口喚便為慚愧。若	雖 不 喚 我 覺 觀 喚 我 汝 已 口 喚 便 為 慚 愧 若 
T50n2042_006:0125b01	以心喚不為慚愧。寧心慚愧不口慚愧。口由	以 心 喚 不 為 慚 愧 寧 心 慚 愧 不 口 慚 愧 口 由 
T50n2042_006:0125b02	心生心不由口。汝若不欲觸不欲見者。何	心 生 心 不 由 口 汝 若 不 欲 觸 不 欲 見 者 何 
T50n2042_006:0125b03	為有此覺觀之念。汝既捨欲。若復還念。	為 有 此 覺 觀 之 念 汝 既 捨 欲 若 復 還 念 
T50n2042_006:0125b04	如以歐吐而更食之。爾時尊者現身在前為	如 以 歐 吐 而 更 食 之 爾 時 尊 者 現 身 在 前 為 
T50n2042_006:0125b05	說法要得阿羅漢。即使著籌窟中。	說 法 要 得阿羅漢 即 使 著 籌 窟 中 
T50n2042_006:0125b06	尊者毱多遊行聚落。到曠野中見五百放牛	尊 者 毱 多 遊 行 聚 落 到 曠 野 中 見 五 百 放 牛 
T50n2042_006:0125b07	人。皆來迎尊者接足作禮在一面坐。尊者為	人 皆 來 迎 尊 者 接足作禮 在 一 面 坐 尊 者 為 
T50n2042_006:0125b08	說法要悉得須陀洹果。以牛還主。放牛人	說 法 要 悉 得 須陀洹果 以 牛 還 主 放 牛 人 
T50n2042_006:0125b09	於是出家盡得阿羅漢。遂使擲籌著於窟	於 是 出 家 盡 得阿羅漢 遂 使 擲 籌 著 於 窟 
T50n2042_006:0125b10	中。	中 
T50n2042_006:0125b11	摩突羅國有一族姓子。詣尊者所出家學道。	摩 突 羅 國 有 一 族 姓 子 詣 尊 者 所 出家學道 
T50n2042_006:0125b12	尊者毱多教授禪法。即得世俗四禪。得初禪	尊 者 毱 多 教 授 禪 法 即 得 世 俗 四 禪 得 初 禪 
T50n2042_006:0125b13	時自謂已得須陀洹果。乃至得於第四禪時。	時 自 謂 已 得 須陀洹果 乃 至 得 於 第 四 禪 時 
T50n2042_006:0125b14	自謂已得阿羅漢果。尊者語言。汝勤精進可	自 謂 已 得阿羅漢 果 尊 者 語 言 汝 勤 精 進 可 
T50n2042_006:0125b15	求上勝。答言。和上。我已得羅漢。尊者意欲更	求 上 勝 答 言 和 上 我 已 得 羅 漢 尊 者 意 欲 更 
T50n2042_006:0125b16	授禪法。使在阿練若處住。尊者遣化道人往	授 禪 法 使 在 阿練若處 住 尊 者 遣 化 道 人 往 
T50n2042_006:0125b17	問訊。問訊已在一面坐。化道人問言。汝於誰	問 訊 問 訊 已 在 一 面 坐 化 道 人 問 言 汝 於 誰 
T50n2042_006:0125b18	邊出家。答言。我尊者毱多所出家。化道人言。	邊 出 家 答 言 我 尊 者 毱 多 所 出 家 化 道 人 言 
T50n2042_006:0125b19	汝大福德。汝之和上是無相好佛。化道人	汝 大 福 德 汝 之 和 上 是 無 相 好 佛 化 道 人 
T50n2042_006:0125b20	問言。汝誦何經。答言。我誦修多羅毘尼阿毘	問 言 汝 誦 何 經 答 言 我 誦 修 多 羅 毘 尼 阿 毘 
T50n2042_006:0125b21	曇。又問言。汝於佛法頗有所證未。答言。我有	曇 又 問 言 汝 於 佛 法 頗 有 所 證 未 答 言 我 有 
T50n2042_006:0125b22	所證。已得須陀洹。乃至得阿羅漢。又問言。汝	所 證 已 得 須 陀 洹 乃 至 得阿羅漢 又 問 言 汝 
T50n2042_006:0125b23	修何道得此四果。答言。我以世俗道。化比丘	修 何 道 得 此 四 果 答 言 我 以 世 俗 道 化 比 丘 
T50n2042_006:0125b24	言。若以世俗道者。汝非得道果。是凡夫人。聞	言 若 以 世 俗 道 者 汝 非 得 道 果 是 凡 夫 人 聞 
T50n2042_006:0125b25	是語已。便於三界生厭惡心。即詣尊者所	是 語 已 便 於 三 界 生 厭 惡 心 即 詣 尊 者 所 
T50n2042_006:0125b26	白和上言。我非得道。唯願和上更教授我。於	白 和 上 言 我 非 得 道 唯 願 和 上 更 教 授 我 於 
T50n2042_006:0125b27	是尊者即時教授禪法。精進修習得阿羅漢。	是 尊 者 即 時 教 授 禪 法 精 進 修 習 得阿羅漢 
T50n2042_006:0125b28	便語擲籌著於窟中。	便 語 擲 籌 著 於 窟 中 
T50n2042_006:0125b29	摩突羅國有一長者子。新娶婦已心生念言。	摩 突 羅 國 有 一 長 者 子 新 娶 婦 已 心 生 念 言 
T50n2042_006:0125c01	我於佛法欲求出家。便辭父母。父母答言。我	我 於 佛 法 欲 求 出 家 便 辭 父 母 父 母 答 言 我 
T50n2042_006:0125c02	唯有一子。死猶不放。何況生存。子白父母	唯 有 一 子 死 猶 不 放 何 況 生 存 子 白 父 母 
T50n2042_006:0125c03	言。若不放我。我終不食。於是斷食從初一日	言 若 不 放 我 我 終 不 食 於 是 斷 食 從 初 一 日 
T50n2042_006:0125c04	乃至六日。父母恐其死故即語之言。當從汝	乃 至 六 日 父 母 恐 其 死 故 即 語 之 言 當 從 汝 
T50n2042_006:0125c05	願。但出家後與我相見。子言。若放我者當來	願 但 出 家 後 與 我 相 見 子 言 若 放 我 者 當 來 
T50n2042_006:0125c06	奉見。於是父母便放出家。即詣尊者所出家。	奉 見 於 是 父 母 便 放 出 家 即 詣 尊 者 所 出 家 
T50n2042_006:0125c07	而自念言。我與父母有要。若得出家許還往	而 自 念 言 我 與 父 母 有 要 若 得 出 家 許 還 往 
T50n2042_006:0125c08	見。便白和上往見父母及見己婦。婦語之言。	見 便 白 和 上 往 見 父 母 及 見 己 婦 婦 語 之 言 
T50n2042_006:0125c09	汝若不與我為夫婦之道。我棄汝死。時此比	汝 若 不 與 我 為 夫 婦 之 道 我 棄 汝 死 時 此 比 
T50n2042_006:0125c10	丘即生悔心。欲得捨戒。作是念言。我先見和	丘 即 生 悔 心 欲 得 捨 戒 作是念言 我 先 見 和 
T50n2042_006:0125c11	上然後捨之。詣和上所稽首白言。我欲還家。	上 然 後 捨 之 詣 和 上 所 稽 首 白 言 我 欲 還 家 
T50n2042_006:0125c12	尊者告言。小住且待明日。於是尊者即於其	尊 者 告 言 小 住 且 待 明 日 於 是 尊 者 即 於 其 
T50n2042_006:0125c13	夜為作現夢。使是比丘夢到父母家見其婦	夜 為 作 現 夢 使 是 比 丘 夢 到 父 母 家 見 其 婦 
T50n2042_006:0125c14	死父母親族嚴備葬具。送其婦屍棄於塚間。	死 父 母 親 族 嚴 備 葬 具 送 其 婦 屍 棄 於 塚 間 
T50n2042_006:0125c15	須臾之頃。見青瘀爛臭疽虫滿中。忽然驚	須臾之頃 見 青 瘀 爛 臭 疽 虫 滿 中 忽 然 驚 
T50n2042_006:0125c16	覺即以夢事往白和上。和上聞已。而告之言。	覺 即 以 夢 事 往 白 和 上 和 上 聞 已 而 告 之 言 
T50n2042_006:0125c17	汝可往看。實如夢不。時此比丘乘和上神力。	汝 可 往 看 實 如 夢 不 時 此 比 丘 乘 和 上 神 力 
T50n2042_006:0125c18	忽便到舍見其父母已送婦屍棄著塚間。疽	忽 便 到 舍 見 其 父 母 已 送 婦 屍 棄 著 塚 間 疽 
T50n2042_006:0125c19	虫唼食如其所夢。思惟觀察重生厭惡得阿	虫 唼 食 如 其 所 夢 思惟觀察 重 生 厭 惡 得 阿 
T50n2042_006:0125c20	羅漢。即便還來。和上問言。汝見婦不。答言。	羅 漢 即 便 還 來 和 上 問 言 汝 見 婦 不 答 言 
T50n2042_006:0125c21	已見婦之實相。遂便語使擲籌窟中。	已 見 婦 之 實 相 遂 便 語 使 擲 籌 窟 中 
T50n2042_006:0125c22	有一族姓子。詣尊者所出家學道。尊者教授	有 一 族 姓 子 詣 尊 者 所 出家學道 尊 者 教 授 
T50n2042_006:0125c23	獲得四禪。自謂已得四沙門果。尊者毱多知	獲 得 四 禪 自 謂 已 得 四沙門果 尊 者 毱 多 知 
T50n2042_006:0125c24	其未得。而作方便教使六日供養眾僧。族姓	其 未 得 而 作 方 便 教 使 六 日 供 養 眾 僧 族 姓 
T50n2042_006:0125c25	比丘往摩突羅城見五百優婆塞。皆來禮拜	比 丘 往 摩 突 羅 城 見 五 百 優 婆 塞 皆 來 禮 拜 
T50n2042_006:0125c26	語此比丘言。阿闍梨。欲作何等。答言。彼阿練	語 此 比 丘 言 阿 闍 梨 欲 作 何 等 答 言 彼 阿 練 
T50n2042_006:0125c27	若處課我六日供養眾僧。優婆塞言。阿闍梨。	若 處 課 我 六 日 供 養 眾 僧 優 婆 塞 言 阿 闍 梨 
T50n2042_006:0125c28	莫愁此事。當為辦之。爾時比丘即生慢心。	莫 愁 此 事 當 為 辦 之 爾 時 比 丘 即 生 慢 心 
T50n2042_006:0125c29	自思惟言。我非羅漢。阿羅漢者已斷慢心。	自 思 惟 言 我 非 羅 漢 阿 羅 漢 者 已 斷 慢 心 
T50n2042_006:0126a01	詣和上所而作此言。唯願和上。當見教授。我	詣 和 上 所 而 作 此 言 唯 願 和 上 當 見 教 授 我 
T50n2042_006:0126a02	猶未得阿羅漢也。於是尊者為說法要得阿	猶 未 得阿羅漢 也 於 是 尊 者 為 說 法 要 得 阿 
T50n2042_006:0126a03	羅漢即便擲籌著於窟中。	羅 漢 即 便 擲 籌 著 於 窟 中 
T50n2042_006:0126a04	時罽賓國有一比丘名善見。獲世俗四禪得	時 罽 賓 國 有 一 比 丘 名 善 見 獲 世 俗 四 禪 得 
T50n2042_006:0126a05	五神通。若無雨時常能請得雨。起增上慢。自	五 神 通 若 無 雨 時 常 能 請 得 雨 起增上慢 自 
T50n2042_006:0126a06	謂已獲阿羅漢果。尊者毱多將欲度彼。化使	謂 已 獲 阿羅漢果 尊 者 毱 多 將 欲 度 彼 化 使 
T50n2042_006:0126a07	十二年。旱諸人驚怖。詣尊者所而作是。言	十 二 年 旱 諸 人 驚 怖 詣 尊 者 所 而 作 是 言 
T50n2042_006:0126a08	願為我等請。雨尊者答言。我不能請雨。罽	願 為 我 等 請 雨 尊 者 答 言 我 不 能 請 雨 罽 
T50n2042_006:0126a09	賓國有善見比丘極能請雨。於是國人即遣	賓 國 有 善 見 比 丘 極 能 請 雨 於 是 國 人 即 遣 
T50n2042_006:0126a10	使往彼比丘所。善見比丘便受其請。以世	使 往 彼 比 丘 所 善 見 比 丘 便 受 其 請 以 世 
T50n2042_006:0126a11	俗五通力飛至摩突羅。摩突羅國中人民勸	俗 五 通 力 飛 至 摩 突 羅 摩 突 羅 國 中 人 民 勸 
T50n2042_006:0126a12	請言。阿闍梨。為我請雨。便為請雨。時乃大雨	請 言 阿 闍 梨 為 我 請 雨 便 為 請 雨 時 乃 大 雨 
T50n2042_006:0126a13	滿閻浮提。一切人知生大歡喜。皆設供具而	滿 閻 浮 提 一 切 人 知 生大歡喜 皆 設 供 具 而 
T50n2042_006:0126a14	來供養。爾時善見大得利養。便起憍慢而作	來 供 養 爾 時 善 見 大 得 利 養 便 起 憍 慢 而 作 
T50n2042_006:0126a15	是言。優波毱多所得供養不如於我。便自思	是 言 優 波 毱 多 所 得 供 養 不 如 於 我 便 自 思 
T50n2042_006:0126a16	惟。阿羅漢者無我慢。將知我今非是羅漢。	惟 阿 羅 漢 者 無 我 慢 將 知 我 今 非 是 羅 漢 
T50n2042_006:0126a17	即往詣尊者求教授法。尊者語言。汝不堅持	即 往 詣 尊 者 求 教 授 法 尊 者 語 言 汝 不 堅 持 
T50n2042_006:0126a18	佛法。云何教汝。佛不聽比丘請雨。汝復生憍	佛 法 云 何 教 汝 佛 不 聽 比 丘 請 雨 汝 復 生 憍 
T50n2042_006:0126a19	慢云。何自云。我得羅漢。即向尊者至心懺	慢 云 何 自 云 我 得 羅 漢 即 向 尊 者 至 心 懺 
T50n2042_006:0126a20	悔。尊者教授便得羅漢。使著籌窟中。	悔 尊 者 教 授 便 得 羅 漢 使 著 籌 窟 中 
T50n2042_006:0126a21	尊者毱多。作是念言。提多迦為出未也。觀猶	尊 者 毱 多 作是念言 提 多 迦 為 出 未 也 觀 猶 
T50n2042_006:0126a22	未出。尊者爾時將比丘眾至提多迦父母之	未 出 尊 者 爾 時 將 比 丘 眾 至 提 多 迦 父 母 之 
T50n2042_006:0126a23	家。漸漸轉少。唯二比丘往到其家。乃至獨往。	家 漸 漸 轉 少 唯 二 比 丘 往 到 其 家 乃 至 獨 往 
T50n2042_006:0126a24	長者問言。阿闍梨。何以獨行。答言。無有弟	長 者 問 言 阿 闍 梨 何 以 獨 行 答 言 無 有 弟 
T50n2042_006:0126a25	子。是故獨行。欲供給者便來供給。長者言。我	子 是 故 獨 行 欲 供 給 者 便 來 供 給 長 者 言 我 
T50n2042_006:0126a26	樂居家不得供給。若後有子共相給使。爾時	樂 居 家 不 得 供 給 若 後 有 子 共 相 給 使 爾 時 
T50n2042_006:0126a27	長者生子皆死。後生一子。字提多迦。漸漸	長 者 生 子 皆 死 後 生 一 子 字 提 多 迦 漸 漸 
T50n2042_006:0126a28	長大。往尊者所。遂使出家學道。年滿二十	長 大 往 尊 者 所 遂 使 出家學道 年 滿 二 十 
T50n2042_006:0126a29	與受具戒。初白之時得須陀洹。第一羯磨	與 受 具 戒 初 白 之 時 得 須 陀 洹 第 一 羯 磨 
T50n2042_006:0126b01	得斯陀含。第二羯磨得阿那含。第三羯磨	得 斯 陀 含 第 二 羯 磨 得 阿 那 含 第 三 羯 磨 
T50n2042_006:0126b02	得阿羅漢。尊者毱多作是思惟。我化緣已	得阿羅漢 尊 者 毱 多 作是思惟 我 化 緣 已 
T50n2042_006:0126b03	訖。以法供養佛竟。饒益同梵行者。使諸檀	訖 以 法 供 養 佛 竟 饒 益 同 梵 行 者 使 諸 檀 
T50n2042_006:0126b04	越大得饒益。而令正法相續不絕。又作是	越 大 得 饒 益 而 令 正 法 相 續 不 絕 又 作 是 
T50n2042_006:0126b05	念。我多利眾生。有窟長三丈六廣二丈四。得	念 我 多 利 眾 生 有 窟 長 三 丈 六 廣 二 丈 四 得 
T50n2042_006:0126b06	阿羅漢者。各以一四寸之籌滿此窟中。今涅	阿 羅 漢 者 各 以 一 四 寸 之 籌 滿 此 窟 中 今 涅 
T50n2042_006:0126b07	槃時到。語提多迦言。子佛以法付囑迦葉。迦	槃 時 到 語 提 多 迦 言 子 佛 以 法 付 囑 迦 葉 迦 
T50n2042_006:0126b08	葉以法付囑阿難。阿難以法付我和上商那	葉 以 法 付 囑 阿 難 阿 難 以 法 付 我 和 上 商 那 
T50n2042_006:0126b09	和修。商那和修以法付我。我今以法付囑於	和 修 商 那 和 修 以 法 付 我 我 今 以 法 付 囑 於 
T50n2042_006:0126b10	汝。尊者毱多告諸天大眾。却後七日我當涅	汝 尊 者 毱 多 告 諸 天 大 眾 却 後 七 日 我 當 涅 
T50n2042_006:0126b11	槃。爾時即集十萬羅漢。學人與淨持戒者不	槃 爾 時 即 集 十 萬 羅 漢 學 人 與 淨 持 戒 者 不 
T50n2042_006:0126b12	可稱數。白衣之眾無量千萬。尊者於是飛騰	可 稱 數 白 衣 之 眾 無 量 千 萬 尊 者 於 是 飛 騰 
T50n2042_006:0126b13	虛空作十八變。使諸四眾皆生歡喜。於無餘	虛 空 作 十 八 變 使 諸 四 眾 皆 生 歡 喜 於 無 餘 
T50n2042_006:0126b14	涅槃。以窟中籌燒尊者身。一萬羅漢見尊者	涅 槃 以 窟 中 籌 燒 尊 者 身 一 萬 羅 漢 見 尊 者 
T50n2042_006:0126b15	涅槃亦入涅槃。諸天種種供養已。然後起塔。	涅 槃 亦 入 涅 槃 諸 天 種種供養 已 然 後 起 塔 
T50n2042_006:0126b16	如來涅槃以法付囑人。亦不得久住。何以故。	如 來 涅 槃 以 法 付 囑 人 亦 不 得 久 住 何 以 故 
T50n2042_006:0126b17	諸天不擁護故。若付囑天法。亦不得久住。	諸 天 不 擁 護 故 若 付 囑 天 法 亦 不 得 久 住 
T50n2042_006:0126b18	何以故。諸天放逸故。是以如來付囑人天。法	何 以 故 諸 天 放 逸 故 是 以 如 來 付 囑 人 天 法 
T50n2042_006:0126b19	得久住。如來欲涅槃時。入世俗心作是思惟。	得 久 住 如 來 欲 涅 槃 時 入 世 俗 心 作是思惟 
T50n2042_006:0126b20	諸四天王應來我所。時四天王已知佛心來	諸 四 天 王 應 來 我 所 時 四 天 王 已 知 佛 心 來 
T50n2042_006:0126b21	至佛所。右遶三匝頭面作禮在一面坐。佛告	至 佛 所 右 遶 三 匝 頭面作禮 在 一 面 坐 佛 告 
T50n2042_006:0126b22	四天王。我今不久當入涅槃。我涅槃後。汝	四 天 王 我 今 不 久 當 入 涅 槃 我涅槃後 汝 
T50n2042_006:0126b23	等諸天擁護佛法。別語提頭羅吒。汝可擁護	等 諸 天 擁 護 佛 法 別 語 提 頭 羅 吒 汝 可 擁 護 
T50n2042_006:0126b24	東方佛法。語毘樓勒。汝今擁護南方佛法。	東 方 佛 法 語 毘 樓 勒 汝 今 擁 護 南 方 佛 法 
T50n2042_006:0126b25	語毘樓博叉。汝今擁護西方佛法。勅毘沙門。	語 毘 樓 博 叉 汝 今 擁 護 西 方 佛 法 勅 毘 沙 門 
T50n2042_006:0126b26	汝今護持北方佛法。滿千年已法欲滅時。非	汝 今 護 持 北 方 佛 法 滿 千 年 已 法 欲 滅 時 非 
T50n2042_006:0126b27	法眾生極為甚多。於閻浮提壞破十善。放	法 眾 生 極 為 甚 多 於 閻 浮 提 壞 破 十 善 放 
T50n2042_006:0126b28	大惡風天不降雨。穀米勇貴。霜雹為災河泉	大 惡 風 天 不 降 雨 穀 米 勇 貴 霜 雹 為 災 河 泉 
T50n2042_006:0126b29	少水。樹無花果。人之威德生酥熟酥漸漸竭	少 水 樹 無 花 果 人 之 威 德 生 酥 熟 酥 漸 漸 竭 
T50n2042_006:0126c01	少。未來之世當有三惡王出。一名釋拘。二	少 未 來 之 世 當 有 三 惡 王 出 一 名 釋 拘 二 
T50n2042_006:0126c02	名閻無那。三名鉢羅擾。害百姓破壞佛法。	名 閻 無 那 三 名 鉢 羅 擾 害 百 姓 破 壞 佛 法 
T50n2042_006:0126c03	如來肉髻及以佛牙當至東天竺。南方有王	如 來 肉 髻 及 以 佛 牙 當 至 東 天 竺 南 方 有 王 
T50n2042_006:0126c04	名釋拘。將十萬眷屬破壞塔寺殺害眾僧。西	名 釋 拘 將 十 萬 眷 屬 破 壞 塔 寺 殺 害 眾 僧 西 
T50n2042_006:0126c05	方有王名曰鉢牢。亦將十萬眷屬亦壞破	方 有 王 名 曰 鉢 牢 亦 將 十 萬 眷 屬 亦 壞 破 
T50n2042_006:0126c06	塔寺殺諸道人。北方有王名閻無那。亦將十	塔 寺 殺 諸 道 人 北 方 有 王 名 閻 無 那 亦 將 十 
T50n2042_006:0126c07	萬眷屬破壞僧坊塔寺殺諸道人。當爾之時。	萬 眷 屬 破 壞 僧 坊 塔 寺 殺 諸 道 人 當 爾 之 時 
T50n2042_006:0126c08	諸非人鬼神亦苦惱人。劫盜等賊亦甚眾多。	諸 非 人 鬼 神 亦 苦 惱 人 劫 盜 等 賊 亦 甚 眾 多 
T50n2042_006:0126c09	惡王亦種種苦惱謫罰恐怖。乃至東方拘舍	惡 王 亦 種 種 苦 惱 謫 罰 恐 怖 乃 至 東 方 拘 舍 
T50n2042_006:0126c10	彌國王名曰大軍。亦有十萬軍眾圍繞。大	彌 國 王 名 曰 大 軍 亦 有 十 萬 軍 眾 圍 繞 大 
T50n2042_006:0126c11	軍王生一子。身著鎧甲手中把血從母胎中	軍 王 生 一 子 身 著 鎧 甲 手 中 把 血 從 母 胎 中 
T50n2042_006:0126c12	出。其身有大力士之力。爾時五百長者同時	出 其 身 有 大 力 士 之 力 爾 時 五 百 長 者 同 時 
T50n2042_006:0126c13	生子。皆身著鎧甲手中捉血從母胎出。即於	生 子 皆 身 著 鎧 甲 手 中 捉 血 從 母 胎 出 即 於 
