X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_002:0763c15	消灾延壽藥師佛。喪事則加經呪懺等。各隨心願。	消 灾 延 壽 藥 師 佛 喪 事 則 加 經 呪 懺 等 各 隨 心 願 
X62n1205_002:0763c16	皆自於佛前回向發願。不得會集道場。亦不得到	皆 自 於 佛 前 回 向 發 願 不 得 會 集 道 場 亦 不 得 到 
X62n1205_002:0763c17	本家禮誦。	本 家 禮 誦 
X62n1205_002:0763c18	初次送單。各置一冊。記明各人十念佛號兩條各若	初 次 送 單 各 置 一 冊 記 明 各 人 十 念 佛 號 兩 條 各 若 
X62n1205_002:0763c19	干數。倘後單到數缺。而四方便條。並無所記。則是	干 數 倘 後 單 到 數 缺 而 四 方 便 條 並 無 所 記 則 是 
X62n1205_002:0763c20	無故退惰。即各於佛前發願。願以日課若干。回施	無 故 退 惰 即 各 於 佛 前 發 願 願 以 日 課 若 干 回 施 
X62n1205_002:0763c21	其人。策其精進。如是歷三月不改。不復答單。改後	其 人 策 其 精 進 如 是 歷 三 月 不 改 不 復 答 單 改 後 
X62n1205_002:0763c22	再答。	再 答 
X62n1205_002:0763c23	修世善法。歸重倫紀。經有明文。如或過誤。同學交深	修 世 善 法 歸 重 倫 紀 經 有 明 文 如 或 過 誤 同 學 交 深 
X62n1205_002:0763c24	者。應隨時善巧規勸。並於佛前。代為求懺。交淺者	者 應 隨 時 善 巧 規 勸 並 於 佛 前 代 為 求 懺 交 淺 者 
X62n1205_002:0764a01	則但求懺。亦三月為限。如上條。	則 但 求 懺 亦 三 月 為 限 如 上 條 
X62n1205_002:0764a02	單上作阿彌陀佛攝受接引像者。明所記各課。一一	單 上 作 阿 彌 陀 佛 攝 受 接 引 像 者 明 所 記 各 課 一 一 
X62n1205_002:0764a03	皆自心光。與彼佛光。互攝互入。無間無漏。故填單	皆 自 心 光 與 彼 佛 光 互 攝 互 入 無 間 無 漏 故 填 單 
X62n1205_002:0764a04	時。當作必蒙證明想。發殷重心。下作僧相者。明當	時 當 作 必 蒙 證 明 想 發 殷 重 心 下 作 僧 相 者 明 當 
X62n1205_002:0764a05	人身在娑婆。此心早歸極樂。他日往生。不論道俗	人 身 在 娑 婆 此 心 早 歸 極 樂 他 日 往 生 不 論 道 俗 
X62n1205_002:0764a06	男女。皆具足大丈夫相。法衣被體。故化單時。當作	男 女 皆 具 足 大丈夫相 法 衣 被 體 故 化 單 時 當 作 
X62n1205_002:0764a07	決定得生想。發歡喜心。彌陀願力如是。應同信受	決 定 得 生 想 發歡喜心 彌 陀 願 力 如 是 應 同 信 受 
X62n1205_002:0764a08	也。	也 
X62n1205_002:0764a09	伏讀會典。詳載。	伏 讀 會 典 詳 載 
X62n1205_002:0764a10	大內供奉　佛菩薩像。及一切典禮。備極尊崇。而定	大 內 供 奉 佛 菩 薩 像 及 一 切 典 禮 備 極 尊 崇 而 定 
X62n1205_002:0764a11	制萬善殿僧眾日課。尤以大本無量壽經為最多。仰	制 萬 善 殿 僧 眾 日 課 尤 以 大 本 無 量 壽 經 為 最 多 仰 
X62n1205_002:0764a12	見　列聖提持至意。實統世出世間。道法一貫。諸同	見 列 聖 提 持 至 意 實 統 世出世間 道 法 一 貫 諸 同 
X62n1205_002:0764a13	學幸沐聖化。獲聞斯經　國恩　佛恩。應早圖報。爰	學 幸 沐 聖 化 獲 聞 斯 經 國 恩 佛 恩 應 早 圖 報 爰 
X62n1205_002:0764a14	據教理。公議規條。附列單首。庶幾日省月察。常共遵	據 教 理 公 議 規 條 附 列 單 首 庶 幾 日 省 月 察 常 共 遵 
X62n1205_002:0764a15	循。盡此一生。同歸極樂。(月單於上端年字下。填寫某月字。年單。於年字下。分	循 盡 此 一 生 同 歸 極 樂 月 單 於 上 端 年 字 下 填 寫 某 月 字 年 單 於 年 字 下 分 
X62n1205_002:0764a16	字上。填寫全年字)。	字 上 填 寫 全 年 字 
X62n1205_002:0764a17	佛說阿彌陀經禮想儀	佛 說 阿 彌 陀 經 禮 想 儀 
X62n1205_002:0764a18	願此香煙雲。徧滿十方界。供養一切佛。阿彌陀世尊。	願 此 香 煙 雲 徧 滿 十 方 界 供 養 一 切 佛 阿 彌 陀 世 尊 
X62n1205_002:0764a19	當來獨留經。世間難信法。觀音與勢至。及諸上善人。	當 來 獨 留 經 世 間 難 信 法 觀 音 與 勢 至 及 諸 上 善 人 
X62n1205_002:0764a20	普熏諸眾生。皆發菩提心。	普 熏 諸 眾 生 皆 發菩提心 
X62n1205_002:0764a21	一心頂禮。娑婆世界。五濁惡世。說難信法。本師釋迦	一 心 頂 禮 娑婆世界 五濁惡世 說 難 信 法 本 師 釋 迦 
X62n1205_002:0764a22	牟尼佛。(一)	牟 尼 佛 一 
X62n1205_002:0764a23	一心頂禮。四維上下世界。稱讚本師。說難信法。恒河	一 心 頂 禮 四 維 上 下 世 界 稱 讚 本 師 說 難 信 法 恒 河 
X62n1205_002:0764a24	沙數諸佛。(二)	沙 數 諸 佛 二 
X62n1205_002:0764b01	一心頂禮。東方世界。出廣長舌。勸發正信。護念持名。	一 心 頂 禮 東 方 世 界 出 廣 長 舌 勸 發 正 信 護 念 持 名 
X62n1205_002:0764b02	恒河沙數諸佛。(三)	恒 河 沙 數 諸 佛 三 
X62n1205_002:0764b03	一心頂禮。南方世界。出廣長舌。勸發正信。護念持名。	一 心 頂 禮 南 方 世 界 出 廣 長 舌 勸 發 正 信 護 念 持 名 
X62n1205_002:0764b04	恒河沙數諸佛。(四)	恒 河 沙 數 諸 佛 四 
X62n1205_002:0764b05	一心頂禮。西方世界。出廣長舌。勸發正信。護念持名。	一 心 頂 禮 西 方 世 界 出 廣 長 舌 勸 發 正 信 護 念 持 名 
X62n1205_002:0764b06	恒河沙數諸佛。(五)	恒 河 沙 數 諸 佛 五 
X62n1205_002:0764b07	一心頂禮。北方世界。出廣長舌。勸發正信。護念持名。	一 心 頂 禮 北 方 世 界 出 廣 長 舌 勸 發 正 信 護 念 持 名 
X62n1205_002:0764b08	恒河沙數諸佛。(六)	恒 河 沙 數 諸 佛 六 
X62n1205_002:0764b09	一心頂禮。下方世界。出廣長舌。勸發正信。護念持名。	一 心 頂 禮 下 方 世 界 出 廣 長 舌 勸 發 正 信 護 念 持 名 
X62n1205_002:0764b10	恒河沙數諸佛。(七)	恒 河 沙 數 諸 佛 七 
X62n1205_002:0764b11	一心頂禮。上方世界。出廣長舌。勸發正信。護念持名。	一 心 頂 禮 上 方 世 界 出 廣 長 舌 勸 發 正 信 護 念 持 名 
X62n1205_002:0764b12	恒河沙數諸佛。(八)	恒 河 沙 數 諸 佛 八 
X62n1205_002:0764b13	一心頂禮。西方極樂世界。成佛至今。現在說法。阿彌	一 心 頂 禮 西方極樂 世 界 成 佛 至 今 現 在 說 法 阿 彌 
X62n1205_002:0764b14	陀佛。(九)	陀 佛 九 
X62n1205_002:0764b15	一心頂禮。西方極樂世界。神通變化。寶樹靈禽。宣流	一 心 頂 禮 西方極樂 世 界 神通變化 寶 樹 靈 禽 宣 流 
X62n1205_002:0764b16	法音。阿彌陀佛。(十)	法 音 阿 彌 陀 佛 十 
X62n1205_002:0764b17	一心頂禮。西方極樂世界。光明普照。念佛眾生。阿彌	一 心 頂 禮 西方極樂 世 界 光明普照 念 佛 眾 生 阿 彌 
X62n1205_002:0764b18	陀佛。(十一)	陀 佛 十 一 
X62n1205_002:0764b19	一心頂禮。西方極樂世界。十劫成佛。壽命無量。名稱	一 心 頂 禮 西方極樂 世 界 十 劫 成 佛 壽 命 無 量 名 稱 
X62n1205_002:0764b20	普聞。阿彌陀佛。(十二)	普 聞 阿 彌 陀 佛 十 二 
X62n1205_002:0764b21	一心頂禮。西方極樂世界。攝受持名。臨終現前。慈悲	一 心 頂 禮 西方極樂 世 界 攝 受 持 名 臨 終 現 前 慈 悲 
X62n1205_002:0764b22	加祐。令心不亂。接引往生。阿彌陀佛。(三稱三拜。十三十四十五)	加 祐 令 心 不 亂 接 引 往 生 阿 彌 陀 佛 三 稱 三 拜 十 三 十 四 十 五 
X62n1205_002:0764b23	一心頂禮。西方極樂世界。大願攝持。已今當願。皆得	一 心 頂 禮 西方極樂 世 界 大 願 攝 持 已 今 當 願 皆 得 
X62n1205_002:0764b24	不退阿耨菩提。應願往生。阿彌陀佛。(十六)	不 退 阿耨菩提 應 願 往 生 阿 彌 陀 佛 十 六 
X62n1205_002:0764c01	一心頂禮。西方極樂世界。阿彌陀佛所說經法。及此	一 心 頂 禮 西方極樂 世 界 阿 彌 陀 佛 所 說 經 法 及 此 
X62n1205_002:0764c02	娑婆世界。當來獨留。稱讚不可思議功德。一切諸佛	娑婆世界 當 來 獨 留 稱 讚 不可思議 功 德 一切諸佛 
X62n1205_002:0764c03	所護念經。(十七)	所 護 念 經 十 七 
X62n1205_002:0764c04	一心頂禮。西方極樂世界。寶欄楯邊。寶羅網下。寶行	一 心 頂 禮 西方極樂 世 界 寶 欄 楯 邊 寶 羅 網 下 寶 行 
X62n1205_002:0764c05	樹間。具受諸樂。一切菩薩摩訶薩。(十八)	樹 間 具 受 諸 樂 一切菩薩 摩 訶 薩 十 八 
X62n1205_002:0764c06	一心頂禮。西方極樂世界。蓮華池內。寶樓閣中。一切	一 心 頂 禮 西方極樂 世 界 蓮 華 池 內 寶 樓 閣 中 一 切 
X62n1205_002:0764c07	菩薩摩訶薩。(十九)	菩薩摩訶薩 十 九 
X62n1205_002:0764c08	一心頂禮。西方極樂世界。黃金地上。盛華供佛。一切	一 心 頂 禮 西方極樂 世 界 黃 金 地 上 盛 華 供 佛 一 切 
X62n1205_002:0764c09	菩薩摩訶薩。(二十)	菩薩摩訶薩 二 十 
X62n1205_002:0764c10	一心頂禮。西方極樂世界。靈鳥樹下。聞音正念。一切	一 心 頂 禮 西方極樂 世 界 靈 鳥 樹 下 聞 音 正 念 一 切 
X62n1205_002:0764c11	菩薩摩訶薩。(二十一)	菩薩摩訶薩 二 十 一 
X62n1205_002:0764c12	一心頂禮。西方極樂世界。阿羅漢果。聲聞弟子。及諸	一 心 頂 禮 西方極樂 世 界 阿羅漢果 聲聞弟子 及 諸 
X62n1205_002:0764c13	菩薩摩訶薩。(二十二)	菩薩摩訶薩 二 十 二 
X62n1205_002:0764c14	一心頂禮。西方極樂世界。觀音勢至。一生補處。諸上	一 心 頂 禮 西方極樂 世 界 觀 音 勢 至 一生補處 諸 上 
X62n1205_002:0764c15	善人。菩薩摩訶薩。(二十三)	善 人 菩薩摩訶薩 二 十 三 
X62n1205_002:0764c16	一心頂禮。文殊彌勒諸大菩薩。舍利弗等諸大弟子。	一 心 頂 禮 文 殊 彌 勒 諸 大 菩 薩 舍 利 弗 等 諸 大 弟 子 
X62n1205_002:0764c17	及無量諸天。一切聖眾。(二十四)	及 無 量 諸 天 一 切 聖 眾 二 十 四 
X62n1205_002:0764c18	一心頂禮。結集流通。迦葉阿難。舍利弗等。諸大比邱。	一 心 頂 禮 結 集 流 通 迦 葉 阿 難 舍 利 弗 等 諸 大 比 邱 
X62n1205_002:0764c19	護法天人。一切聖眾。(二十五)	護 法 天 人 一 切 聖 眾 二 十 五 
X62n1205_002:0764c20	禮經必二十五拜。令經文完全。若作禮懺用。則	禮 經 必 二 十 五 拜 令 經 文 完 全 若 作 禮 懺 用 則 
X62n1205_002:0764c21	除去末一拜。緣懺須發願。恭對三寶。與禮經不	除 去 末 一 拜 緣 懺 須 發 願 恭 對 三 寶 與 禮 經 不 
X62n1205_002:0764c22	同。故不必觀想流通分也。禮二十四拜後。接唱	同 故 不 必 觀 想 流 通 分 也 禮 二 十 四 拜 後 接 唱 
X62n1205_002:0764c23	慈雲懺主懺願原文。謹附於後。	慈 雲 懺 主 懺 願 原 文 謹 附 於 後 
X62n1205_002:0764c24	右參酌堅密大師。及玉峯師所輯本。據經增損。使	右 參 酌 堅 密 大 師 及 玉 峯 師 所 輯 本 據 經 增 損 使 
X62n1205_002:0765a01	廣略適宜。約有六善。一顯彌陀三身。謂第九為報	廣 略 適 宜 約 有 六 善 一 顯 彌 陀 三 身 謂 第 九 為 報 
X62n1205_002:0765a02	身。第十為化身。第十一十二為法身。第十三為應	身 第 十 為 化 身 第 十 一 十 二 為 法 身 第 十 三 為 應 
X62n1205_002:0765a03	身。亦即報即法即化也。二顯諸佛接物。俱有四益。	身 亦 即 報 即 法 即 化 也 二 顯 諸 佛 接 物 俱 有 四 益 
X62n1205_002:0765a04	彌陀獨多名號一益。謂第九說法為聲益。第十變	彌 陀 獨 多 名 號 一 益 謂 第 九 說 法 為 聲 益 第 十 變 
X62n1205_002:0765a05	化為神通益。第十一光明為光益。第十三現前接	化 為 神 通 益 第 十 一 光 明 為 光 益 第 十 三 現 前 接 
X62n1205_002:0765a06	引為身益。而第十二壽命為名益。以大本直稱無	引 為 身 益 而 第 十 二 壽 命 為 名 益 以 大 本 直 稱 無 
X62n1205_002:0765a07	量壽佛。觀經下品下生文中。亦明云應稱無量壽	量 壽 佛 觀 經 下 品 下 生 文 中 亦 明 云 應 稱 無 量 壽 
X62n1205_002:0765a08	佛也。所以者何。猶之光壽同是法身。而壽可賅光。	佛 也 所以者何 猶 之 光 壽 同 是 法 身 而 壽 可 賅 光 
X62n1205_002:0765a09	光不可賅壽。故無量壽為通稱也。三散心一心。皆	光 不 可 賅 壽 故 無 量 壽 為 通 稱 也 三 散 心 一 心 皆 
X62n1205_002:0765a10	得往生。彌陀本願如是。大本及觀經。具有明文。而	得 往 生 彌 陀 本 願 如 是 大 本 及 觀 經 具 有 明 文 而 
X62n1205_002:0765a11	本經結重。亦全在此。故特據唐譯本。慈悲加祐。令	本 經 結 重 亦 全 在 此 故 特 據 唐 譯 本 慈 悲 加 祐 令 
X62n1205_002:0765a12	心不亂二句。增入禮想。以釋行者自疑。令平日熟	心 不 亂 二 句 增 入 禮 想 以 釋 行 者 自 疑 令 平 日 熟 
X62n1205_002:0765a13	習。臨終任運往生。感應倍捷也。四種種依報莊嚴。	習 臨 終 任 運 往 生 感 應 倍 捷 也 四 種 種 依 報 莊 嚴 
X62n1205_002:0765a14	據經撮略。次第唱念。令觀想易熟。倍生殷重。宛似	據 經 撮 略 次 第 唱 念 令 觀 想 易 熟 倍 生 殷 重 宛 似 
X62n1205_002:0765a15	神游。又令不能讀經者。不啻全讀。讀而不解者。亦	神 游 又 令 不 能 讀 經 者 不 啻 全 讀 讀 而 不 解 者 亦 
X62n1205_002:0765a16	漸能解也。五不依懺法常儀。兼及十方三世三寶。	漸 能 解 也 五 不 依 懺 法 常 儀 兼 及 十 方 三 世 三 寶 
X62n1205_002:0765a17	顯極樂淨土。即賅恒真淨土。極樂世界。圓攝華藏	顯 極樂淨土 即 賅 恒 真 淨 土 極樂世界 圓 攝 華 藏 
X62n1205_002:0765a18	世界。亦令行者專想易成也。六據大本。增入當來	世 界 亦 令 行 者 專 想 易 成 也 六 據 大 本 增 入 當 來 
X62n1205_002:0765a19	獨留此經。又據賢護經。增入彌陀所說經法。以大	獨 留 此 經 又 據 賢 護 經 增 入 彌 陀 所 說 經 法 以 大 
X62n1205_002:0765a20	本雖據當經。而宗旨歸重一向專念。正與此經同	本 雖 據 當 經 而 宗 旨 歸 重 一 向 專 念 正 與 此 經 同 
X62n1205_002:0765a21	其力用。賢護明載彌陀法語。亦正此經。現在說法	其 力 用 賢 護 明 載 彌 陀 法 語 亦 正 此 經 現 在 說 法 
X62n1205_002:0765a22	之證也。以上六者。在兩師本。或顯或隱。且一則令	之 證 也 以 上 六 者 在 兩 師 本 或 顯 或 隱 且 一 則 令 
X62n1205_002:0765a23	行人拜時。廣想種種依正莊嚴。似非初學雜亂垢	行 人 拜 時 廣 想 種 種 依 正 莊 嚴 似 非 初 學 雜 亂 垢 
X62n1205_002:0765a24	心。所能猝辦。一則令拜時但想經文。以代妙觀。似	心 所 能 猝 辦 一 則 令 拜 時 但 想 經 文 以 代 妙 觀 似 
X62n1205_002:0765b01	較簡易。而文句長短不齊。前後顛倒不全。恐亦難	較 簡 易 而 文 句 長 短 不 齊 前 後 顛 倒 不 全 恐 亦 難 
X62n1205_002:0765b02	為通軌。今盡取什師奘師兩譯本。並大本經種種	為 通 軌 今 盡 取 什 師 奘 師 兩 譯 本 並 大 本 經 種 種 
X62n1205_002:0765b03	依正。[(隱工)/木]括綱要為句。令拜時曼聲唱念。隨聲入觀。	依 正 [隱工木] 括 綱 要 為 句 令 拜 時 曼 聲 唱 念 隨 聲 入 觀 
X62n1205_002:0765b04	則觀拜會一。身心會一。並向來常儀能禮所禮性	則 觀 拜 會 一 身 心 會 一 並 向 來 常 儀 能 禮 所 禮 性 
X62n1205_002:0765b05	空寂等句。亦不必更舉。似較簡捷圓融。日課單中。	空 寂 等 句 亦 不 必 更 舉 似 較 簡 捷 圓 融 日 課 單 中 
X62n1205_002:0765b06	有禮經一條。特擬此公諸同好。又培護門中。特提	有 禮 經 一 條 特 擬 此 公 諸 同 好 又 培 護 門 中 特 提 
X62n1205_002:0765b07	殺戒最重。故并擬懺願偈一章附後。	殺 戒 最 重 故 并 擬 懺 願 偈 一 章 附 後 
X62n1205_002:0765b08	戒殺懺願偈	戒 殺 懺 願 偈 
X62n1205_002:0765b09	稽首本師釋迦佛。西方阿彌陀世尊。稽首淨土修多	稽 首 本 師 釋 迦 佛 西 方 阿 彌 陀 世 尊 稽 首 淨 土 修 多 
X62n1205_002:0765b10	羅。諸佛本源毗尼藏。稽首清淨海會眾。願同攝受我	羅 諸 佛 本 源 毗 尼 藏 稽 首 清 淨 海 會 眾 願 同 攝 受 我 
X62n1205_002:0765b11	今願。我聞無量壽經言。諸欲往生極樂者。雖不能大	今 願 我 聞 無 量 壽 經 言 諸 欲 往 生 極 樂 者 雖 不 能 大 
X62n1205_002:0765b12	精進戒。要當作善首戒殺。又聞觀經九品章。慈心不	精 進 戒 要 當 作 善 首 戒 殺 又 聞 觀 經 九 品 章 慈 心 不 
X62n1205_002:0765b13	殺是諸戒。及與迴向發願心。皆得上品上生記。又聞	殺 是 諸 戒 及 與 迴 向 發 願 心 皆 得 上 品 上 生 記 又 聞 
X62n1205_002:0765b14	在家五戒相。能淨一戒即生天。若迴天業求淨土。應	在 家 五 戒 相 能 淨 一 戒 即 生 天 若 迴 天 業 求 淨 土 應 
X62n1205_002:0765b15	願往生蒙接引。因茲發願依教持。第一殺戒期嚴淨。	願 往 生 蒙 接 引 因 茲 發 願 依 教 持 第 一 殺 戒 期 嚴 淨 
X62n1205_002:0765b16	等慈一切眾生類。常勤救護令安穩。復依在家修齋	等 慈 一 切 眾 生 類 常 勤 救 護 令 安 穩 復 依 在 家 修 齋 
X62n1205_002:0765b17	法。內量身力外護嫌。或正五九月長齋。或六齋與十	法 內 量 身 力 外 護 嫌 或 正 五 九 月 長 齋 或 六 齋 與 十 
