T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0647c21	外。言十事者：一者、化主不可思議、餘經或釋	外 言 十 事 者 一 者 化 主 不可思議 餘 經 或 釋 
T34n1722_001:0647c22	迦自說、或四佛共談，至如《法花》十方分身俱	迦 自 說 或 四 佛 共 談 至 如 法 花 十 方 分 身 俱 
T34n1722_001:0647c23	來法會，三世等覺同赴鷲山，是以文云「一一	來 法 會 三 世 等 覺 同 赴 鷲 山 是 以 文 云 一 一 
T34n1722_001:0647c24	方四百萬億那由他國土諸佛如來遍滿其	方 四 百 萬 億 那 由 他 國 土 諸佛如來 遍 滿 其 
T34n1722_001:0647c25	中，如是十方諸佛皆悉來集坐於八方」，此謂	中 如 是 十方諸佛 皆 悉 來 集 坐 於 八 方 此 謂 
T34n1722_001:0647c26	現在佛集；多寶佛踊現，明過去佛集。現在有	現 在 佛 集 多 寶 佛 踊 現 明 過 去 佛 集 現 在 有 
T34n1722_001:0647c27	十方佛，過去但明多寶者，《法花論》云「此以略	十 方 佛 過 去 但 明 多 寶 者 法 花 論 云 此 以 略 
T34n1722_001:0647c28	攝廣，明一佛之用總攝過去一切佛用，即與	攝 廣 明 一 佛 之 用 總 攝 過 去 一 切 佛 用 即 與 
T34n1722_001:0647c29	現在廣略互現」。諸大菩薩普會鷲山，謂當來	現 在 廣 略 互 現 諸 大 菩 薩 普 會 鷲 山 謂 當 來 
T34n1722_001:0648a01	佛集。以三世等覺同赴鷲山，大小諸經未有	佛 集 以 三 世 等 覺 同 赴 鷲 山 大 小 諸 經 未 有 
T34n1722_001:0648a02	如斯之盛集，謂化主不可思議也。二	如 斯 之 盛 集 謂 化 主 不可思議 也 二 
T34n1722_001:0648a03	者、徒眾不可思議。八方世界一一方四百	者 徒 眾 不可思議 八 方 世 界 一 一 方 四 百 
T34n1722_001:0648a04	萬億那由他國土諸佛各將侍者，又下方千	萬 億 那 由 他 國 土 諸 佛 各 將 侍 者 又 下 方 千 
T34n1722_001:0648a05	世界微塵數菩薩從地涌出遍滿虛空，乃至	世 界 微 塵 數 菩 薩 從地涌出 遍 滿 虛 空 乃 至 
T34n1722_001:0648a06	沙竭龍宮不可思議大士雲集靈鷲山；雖復	沙 竭 龍 宮 不可思議 大 士 雲 集 靈 鷲 山 雖 復 
T34n1722_001:0648a07	鹿薗稟道之眾、鵠樹聞經之賓，亦未有如斯	鹿 薗 稟 道 之 眾 鵠 樹 聞 經 之 賓 亦 未 有 如 斯 
T34n1722_001:0648a08	之盛集之也。是謂徒眾不可思議也。三	之 盛 集 之 也 是 謂 徒 眾 不可思議 也 三 
T34n1722_001:0648a09	者、國土不可思議，靈塔踊現、普集分身、三變	者 國 土 不可思議 靈 塔 踊 現 普 集 分 身 三 變 
T34n1722_001:0648a10	八方同為淨土，乃至〈神力品〉云「于時十方世	八 方 同 為 淨 土 乃 至 神 力 品 云 于 時 十 方 世 
T34n1722_001:0648a11	界通達無礙如一佛土」。至如仙人苑內匹此	界 通 達 無 礙 如 一 佛 土 至 如 仙 人 苑 內 匹 此 
T34n1722_001:0648a12	太遙，力士河邊方斯亦遠，是為處所不可思	太 遙 力 士 河 邊 方 斯 亦 遠 是 為 處 所 不 可 思 
T34n1722_001:0648a13	議也。	議 也 
T34n1722_001:0648a14	第四者、教門不可思議。如方廣、《花嚴》偈凡	第 四 者 教 門 不可思議 如 方 廣 花 嚴 偈 凡 
T34n1722_001:0648a15	十萬偈，《摩訶波若》數亦同然，如此等經尚以	十 萬 偈 摩 訶 波 若 數 亦 同 然 如 此 等 經 尚 以 
T34n1722_001:0648a16	為多；至如大通智勝所說恒河沙偈，威音	為 多 至 如 大 通 智 勝 所 說 恒 河 沙 偈 威 音 
T34n1722_001:0648a17	王佛所明二十千萬億那由他偈。所以辨其	王 佛 所 明 二 十 千 萬 億 那 由 他 偈 所 以 辨 其 
T34n1722_001:0648a18	文多，意欲顯其義廣，是謂教門不可思議	文 多 意 欲 顯 其 義 廣 是 謂 教 門 不可思議 
T34n1722_001:0648a19	也。第五者、時節不可思議。燈明佛說	也 第 五 者 時 節 不可思議 燈 明 佛 說 
T34n1722_001:0648a20	此經六十小劫，大通佛所說八千劫，妙光菩	此 經 六 十 小 劫 大 通 佛 所 說 八 千 劫 妙 光 菩 
T34n1722_001:0648a21	薩八十小劫，十六沙彌八萬四千劫，釋迦佛	薩 八 十 小 劫 十 六 沙 彌 八萬四千 劫 釋 迦 佛 
T34n1722_001:0648a22	時踊出大士問訊之間五十小劫，說經之時	時 踊 出 大 士 問 訊 之 間 五 十 小 劫 說 經 之 時 
T34n1722_001:0648a23	當不可量也。所以辨說經時長，亦為顯文多	當 不 可 量 也 所 以 辨 說 經 時 長 亦 為 顯 文 多 
T34n1722_001:0648a24	義廣，是謂時節不可思議也。第六	義 廣 是 謂 時 節 不可思議 也 第 六 
T34n1722_001:0648a25	者、神力不可思議。將開波若時，釋迦獨出現	者 神 力 不可思議 將 開 波 若 時 釋 迦 獨 出 現 
T34n1722_001:0648a26	靈祥欲震金鼓，四尊共呈嘉瑞；未若斯經	靈 祥 欲 震 金 鼓 四 尊 共 呈 嘉 瑞 未 若 斯 經 
T34n1722_001:0648a27	十方分身共現七種神力，滿百千歲然後攝	十 方 分 身 共 現 七 種 神 力 滿 百 千 歲 然 後 攝 
T34n1722_001:0648a28	之。是為神力不可思議也。第七者、利	之 是 為 神 力 不可思議 也 第 七 者 利 
T34n1722_001:0648a29	益不可思議。如〈分別功德品〉明聞經得十二	益 不可思議 如 分 別 功 德 品 明 聞 經 得 十 二 
T34n1722_001:0648b01	種利益，始自無量恒河沙菩薩悟無生忍，終	種 利 益 始 自 無 量 恒 河 沙 菩 薩 悟 無 生 忍 終 
T34n1722_001:0648b02	則八方世界微塵數眾生發菩提心；如〈調達〉、	則 八 方 世 界 微 塵 數 眾 生 發菩提心 如 調 達 
T34n1722_001:0648b03	〈藥王〉、〈妙音〉、〈觀音〉、〈陀羅尼〉、〈妙莊嚴王本事〉、〈普賢勸	 藥 王 妙 音 觀 音 陀 羅 尼 妙 莊 嚴 王 本 事 普 賢 勸 
T34n1722_001:0648b04	發〉，總陳八品，得道者不可具陳。謂利益不	發 總 陳 八 品 得 道 者 不 可 具 陳 謂 利 益 不 
T34n1722_001:0648b05	可思議也。第八者、功德不可思議。從初	可 思 議 也 第 八 者 功 德 不可思議 從 初 
T34n1722_001:0648b06	至後嘆法美人功德無量，如〈隨喜品〉說「第五	至 後 嘆 法 美 人 功 德 無 量 如 隨 喜 品 說 第 五 
T34n1722_001:0648b07	十人聞一偈隨喜轉教，勝於施四百億萬	十 人 聞 一 偈 隨 喜 轉 教 勝 於 施 四 百 億 萬 
T34n1722_001:0648b08	阿僧祇世界六趣眾生一切樂具及令得阿	阿 僧 祇 世 界 六 趣 眾 生 一 切 樂 具 及 令 得 阿 
T34n1722_001:0648b09	羅漢果」，是為功德不可思議也。第九者、	羅 漢 果 是 為 功 德 不可思議 也 第 九 者 
T34n1722_001:0648b10	明乘權乘實不可思議。如三藏等教唯辨小	明 乘 權 乘 實 不可思議 如 三 藏 等 教 唯 辨 小 
T34n1722_001:0648b11	乘，《波若》諸經但明大乘，未若《法花》說實歸本	乘 波 若 諸 經 但 明 大 乘 未 若 法 花 說 實 歸 本 
T34n1722_001:0648b12	泯寂異途，開會一三融釋大小，使羊鹿無息	泯 寂 異 途 開 會 一 三 融 釋 大 小 使 羊 鹿 無 息 
T34n1722_001:0648b13	駕之累，白牛有直進之功。是為乘權乘實不	駕 之 累 白 牛 有 直 進 之 功 是 為 乘 權 乘 實 不 
T34n1722_001:0648b14	可思議也。第十者、身權身實不可思	可 思 議 也 第 十 者 身 權 身 實 不 可 思 
T34n1722_001:0648b15	議。餘經或但明生法，或直辨三身；至如多寶	議 餘 經 或 但 明 生 法 或 直 辨 三 身 至 如 多 寶 
T34n1722_001:0648b16	踊現示真常應滅，分身嚮集表本一迹多，並	踊 現 示 真 常 應 滅 分 身 嚮 集 表 本 一 迹 多 並 
T34n1722_001:0648b17	開近顯遠囊括古今，使悟應滅難期、知長短	開近顯遠 囊 括 古 今 使 悟 應 滅 難 期 知 長 短 
T34n1722_001:0648b18	無二，令菩提心力堅固猛利、念佛三昧倍復	無 二 令 菩 提 心 力 堅 固 猛 利 念佛三昧 倍 復 
T34n1722_001:0648b19	增益。是為第十身權身實不可思議也。後之	增 益 是 為 第 十 身 權 身 實 不可思議 也 後 之 
T34n1722_001:0648b20	二事蓋是一經大宗，即以釋前八事。所以有	二 事 蓋 是 一 經 大 宗 即 以 釋 前 八 事 所 以 有 
T34n1722_001:0648b21	前八不可思議，有良由此經具開二權、雙	前 八 不可思議 有 良 由 此 經 具 開 二 權 雙 
T34n1722_001:0648b22	示兩實故也。	示 兩 實 故 也 
T34n1722_001:0648b23	第八、弘經方法。問：尋如來出世善巧化人，四	第 八 弘 經 方 法 問 尋 如 來 出 世 善 巧 化 人 四 
T34n1722_001:0648b24	依菩薩妙能通法，末世凡夫云何弘經？答：〈法	依 菩 薩 妙 能 通 法 末 世 凡 夫 云 何 弘 經 答 法 
T34n1722_001:0648b25	師品〉云「佛滅度後，若有善男子善女人欲說	師 品 云 佛 滅 度 後 若 有 善 男 子 善 女 人 欲 說 
T34n1722_001:0648b26	是經者，當安住三法：一者入如來室，二者	是 經 者 當 安 住 三 法 一 者 入 如 來 室 二 者 
T34n1722_001:0648b27	著如來衣，三者坐如來座。入如來室者，大	著 如 來 衣 三 者 坐 如 來 座 入 如 來 室 者 大 
T34n1722_001:0648b28	慈大悲心是也；如來衣者，柔和忍辱心	慈 大 悲 心 是 也 如 來 衣 者 柔 和 忍 辱 心 
T34n1722_001:0648b29	是；如來座者，一切法空是。具此三法然後以	是 如 來 座 者 一切法空 是 具 此 三 法 然 後 以 
T34n1722_001:0648c01	不懈怠心為四眾說法。」佛垂妙軌，宜可依之。	不 懈 怠 心 為 四 眾 說 法 佛 垂 妙 軌 宜 可 依 之 
T34n1722_001:0648c02	慈悲有隱覆之功，喻之如室；柔和忍有障弊	慈 悲 有 隱 覆 之 功 喻 之 如 室 柔 和 忍 有 障 弊 
T34n1722_001:0648c03	之用，喻之如衣；空理可以安心，目之為座。	之 用 喻 之 如 衣 空 理 可 以 安 心 目 之 為 座 
T34n1722_001:0648c04	詳此三門則為次第，大悲拔苦、大慈與樂，蓋	詳 此 三 門 則 為 次 第 大 悲 拔 苦 大 慈 與 樂 蓋 
T34n1722_001:0648c05	是種覺之洪因、弘道之本意，欲說妙法，宜前	是 種 覺 之 洪 因 弘 道 之 本 意 欲 說 妙 法 宜 前 
T34n1722_001:0648c06	建此心，是故第一明入如來室。既於極惡之	建 此 心 是 故 第 一 明 入 如 來 室 既 於 極 惡 之 
T34n1722_001:0648c07	世欲弘窮善之道，必多留難，宜應忍之，是故	世 欲 弘 窮 善 之 道 必 多 留 難 宜 應 忍 之 是 故 
T34n1722_001:0648c08	第二明著如來衣。雖復慈悲外覆、和忍內安，	第 二 明 著 如 來 衣 雖 復 慈 悲 外 覆 和 忍 內 安 
T34n1722_001:0648c09	若無空觀虛明則二行不成，何由悟物？是故	若 無 空 觀 虛 明 則 二 行 不 成 何 由 悟 物 是 故 
T34n1722_001:0648c10	第三辨坐如來座。內備三心、外懃說法，則道	第 三 辨 坐 如 來 座 內 備 三 心 外 懃 說 法 則 道 
T34n1722_001:0648c11	無不隆、人無不利，故令安住三法弘《法花經》。	無 不 隆 人 無 不 利 故 令 安 住 三 法 弘 法 花 經 
T34n1722_001:0648c12	問：何故起慈悲名入如來室？答：〈譬喻品〉云「我	問 何 故 起 慈 悲 名 入 如 來 室 答 譬 喻 品 云 我 
T34n1722_001:0648c13	亦如是，眾聖中尊、世間之父，一切眾生皆是吾	亦 如 是 眾 聖 中 尊 世 間 之 父 一 切 眾 生 皆 是 吾 
T34n1722_001:0648c14	子」，則知此經明父母之道。父則有樂無苦，	子 則 知 此 經 明 父 母 之 道 父 則 有 樂 無 苦 
T34n1722_001:0648c15	子則有苦無樂，今大悲拔子之苦，大慈與子	子 則 有 苦 無 樂 今 大 悲 拔 子 之 苦 大 慈 與 子 
T34n1722_001:0648c16	之樂，令一切眾生普皆成佛，故說《法花經》。末	之 樂 令 一 切 眾 生 普 皆 成 佛 故 說 法 花 經 末 
T34n1722_001:0648c17	世法師既代佛弘經，亦宜學佛之行，是故慈	世 法 師 既 代 佛 弘 經 亦 宜 學 佛 之 行 是 故 慈 
T34n1722_001:0648c18	悲名如來室。若為利養名聞、勝他勢力而講	悲 名 如 來 室 若 為 利 養 名 聞 勝 他 勢 力 而 講 
T34n1722_001:0648c19	說者，則不拔苦與樂，乖父子恩情，非弘佛乘	說 者 則 不 拔 苦 與 樂 乖 父 子 恩 情 非 弘 佛 乘 
T34n1722_001:0648c20	之道也。問：何故柔和忍辱名如來衣？答：譬如	之 道 也 問 何 故 柔 和 忍 辱 名 如 來 衣 答 譬 如 
T34n1722_001:0648c21	稚子未有所知，兼為惡鬼之所嬈亂，如毀辱	稚 子 未 有 所 知 兼 為 惡 鬼 之 所 嬈 亂 如 毀 辱 
T34n1722_001:0648c22	於父，父則生愍惻，懃加救療不起瞋心。此	於 父 父 則 生 愍 惻 懃 加 救 療 不 起 瞋 心 此 
T34n1722_001:0648c23	經既明父子之道，一切眾生觀力未成，為煩	經 既 明 父 子 之 道 一 切 眾 生 觀 力 未 成 為 煩 
T34n1722_001:0648c24	惱鬼之所嬈亂，若毀辱於佛，佛深生憐愍，以	惱 鬼 之 所 嬈 亂 若 毀 辱 於 佛 佛 深 生 憐 愍 以 
T34n1722_001:0648c25	《妙法花》藥懃救治之不生瞋恨。末世法師既	 妙 法 花 藥 懃 救 治 之 不 生 瞋 恨 末 世 法 師 既 
T34n1722_001:0648c26	代佛弘經，亦應學佛和忍，若起瞋恨便與佛	代 佛 弘 經 亦 應 學 佛 和 忍 若 起 瞋 恨 便 與 佛 
T34n1722_001:0648c27	乖，非弘佛道矣。是故柔和忍名如來衣。問：	乖 非 弘 佛 道 矣 是 故 柔 和 忍 名 如 來 衣 問 
T34n1722_001:0648c28	〈法師品〉云「是《法花經》如來在世猶多怨嫉，況	 法 師 品 云 是 法 花 經 如 來 在 世 猶 多 怨 嫉 況 
T34n1722_001:0648c29	滅度後」。何故說此經時多留難耶？答：世人云，	滅 度 後 何 故 說 此 經 時 多 留 難 耶 答 世 人 云 
T34n1722_001:0649a01	良藥口苦、美言逆耳，此經廢五種乘之異	良 藥 口 苦 美 言 逆 耳 此 經 廢 五 種 乘 之 異 
T34n1722_001:0649a02	執、立一極之玄宗，故斥凡呵聖、排大破小，指	執 立 一 極 之 玄 宗 故 斥 凡 呵 聖 排 大 破 小 指 
T34n1722_001:0649a03	天魔為毒虫、說外道為惡鬼，貶執小為貧賤、	天 魔 為 毒 虫 說 外 道 為 惡 鬼 貶 執 小 為 貧 賤 
T34n1722_001:0649a04	挫菩薩為新學，故天魔惡聞、外道逆耳，二乘	挫 菩 薩 為 新 學 故 天 魔 惡 聞 外 道 逆 耳 二 乘 
T34n1722_001:0649a05	驚愕、菩薩怯弱。如此之徒喜為留難。世間多	驚 愕 菩 薩 怯 弱 如 此 之 徒 喜 為 留 難 世 間 多 
T34n1722_001:0649a06	怨嫉，言豈可虛哉。又一切眾生無始已來，	怨 嫉 言 豈 可 虛 哉 又 一 切 眾 生 無始已來 
T34n1722_001:0649a07	多起十惡業、小有人天之因，起人天之因尚	多 起 十 惡 業 小 有 人 天 之 因 起 人 天 之 因 尚 
T34n1722_001:0649a08	少，求二乘者轉希，學佛道者彌復難得。所以	少 求 二 乘 者 轉 希 學 佛 道 者 彌 復 難 得 所 以 
T34n1722_001:0649a09	然者，若不起凡見聖見，捨小心發大心，種中	然 者 若 不 起 凡 見 聖 見 捨 小 心 發 大 心 種 中 
T34n1722_001:0649a10	道善根，然後始得聞一乘極教耳。但眾生皆	道 善 根 然 後 始 得 聞 一 乘 極 教 耳 但 眾 生 皆 
T34n1722_001:0649a11	有凡聖大小之障，聞說一乘，不能信受，故憙	有 凡 聖 大 小 之 障 聞 說 一 乘 不 能 信 受 故 憙 
T34n1722_001:0649a12	為留難。問：何故知一切法空名坐如來座？答：	為 留 難 問 何 故 知一切法 空 名 坐 如 來 座 答 
T34n1722_001:0649a13	畢竟空觀者為成二行及辨弘經大宗，為成	畢 竟 空 觀 者 為 成 二 行 及 辨 弘 經 大 宗 為 成 
T34n1722_001:0649a14	二行者雖有慈悲，若無空觀者則見有眾生，	二 行 者 雖 有 慈 悲 若 無 空 觀 者 則 見 有 眾 生 
T34n1722_001:0649a15	眾生成緣，名凡夫慈；若無空觀者則見有諸	眾 生 成 緣 名 凡 夫 慈 若 無 空 觀 者 則 見 有 諸 
T34n1722_001:0649a16	法，成於法緣，成二乘慈。是以知一切法空，不	法 成 於 法 緣 成 二 乘 慈 是 以 知一切法 空 不 
T34n1722_001:0649a17	見有眾生及以諸法而起慈者，名無緣慈。無	見 有 眾 生 及 以 諸 法 而 起 慈 者 名 無 緣 慈 無 
T34n1722_001:0649a18	緣慈者謂如來慈，故以畢竟空觀成慈悲行。	緣 慈 者 謂 如 來 慈 故 以 畢 竟 空 觀 成 慈 悲 行 
T34n1722_001:0649a19	若無空觀而起忍者，則不成無生忍，亦非法	若 無 空 觀 而 起 忍 者 則 不 成 無 生 忍 亦 非 法 
T34n1722_001:0649a20	忍；以有畢竟空觀而起忍，則成無生忍及以	忍 以 有 畢 竟 空 觀 而 起 忍 則 成 無 生 忍 及 以 
T34n1722_001:0649a21	法忍。故此和忍是如來忍，名如來衣。次明畢	法 忍 故 此 和 忍 是 如 來 忍 名 如 來 衣 次 明 畢 
T34n1722_001:0649a22	竟空觀成弘經大宗者，若無空觀則破三著	竟 空 觀 成 弘 經 大 宗 者 若 無 空 觀 則 破 三 著 
T34n1722_001:0649a23	一，麁惑雖去細染尋生；以有空觀，雖復破三	一 麁 惑 雖 去 細 染 尋 生 以 有 空 觀 雖 復 破 三 
T34n1722_001:0649a24	心不染一，名無所得也。又〈藥草喻品〉云「究竟	心 不 染 一 名 無 所 得 也 又 藥 草 喻 品 云 究 竟 
T34n1722_001:0649a25	涅槃，常寂滅相，終歸於空」，即知空為諸法之	涅 槃 常 寂 滅 相 終 歸 於 空 即 知 空 為 諸 法 之 
